country_code,region_name,iata,icao,airport,latitude,longitude
CA,Newfoundland and Labrador,YMN,CYFT,Makkovik Airport,55.07690048,-59.18640137
CA,Alberta,YMM,CYMM,Fort McMurray International Airport,56.65330124,-111.2220001
CA,Quebec,YML,CYML,Charlevoix Airport,47.59749985,-70.22389984
CA,Saskatchewan,YMJ,CYMJ,CFB Moose Jaw (C.M. McEwen Airport),50.33029938,-105.5589981
CA,Newfoundland and Labrador,YMH,CYMH,Mary's Harbour Airport,52.30279922,-55.84719849
CA,Ontario,YMG,CYMG,Manitouwadge Airport,49.08390045,-85.86060333
CA,British Columbia,YMF,,Montague Harbour Water Aerodrome,48.817,-123.2
CA,Ontario,WNN,,Wunnummin Lake Airport,52.89390182,-89.28919983
CA,Quebec,YME,CYME,Matane Airport,48.85689926,-67.45330048
CA,Northwest Territories,YMD,CYMD,Mould Bay Airport,76.2392,-119.3216
CA,British Columbia,YMB,,Merritt Airport,50.12279892,-120.7470016
CA,Yukon,YMA,CYMA,Mayo Airport,63.61640167,-135.8679962
CA,British Columbia,YLY,CYNJ,Langley Regional Airport,49.10079956,-122.6309967
CA,British Columbia,YLW,CYLW,Kelowna International Airport,49.95610046,-119.3779984
CA,Alberta,WPC,CZPC,Pincher Creek Airport,49.52059937,-113.9970016
CA,Nunavut,YLT,CYLT,Alert Airport,82.51779938,-62.2806015
CA,Quebec,YLS,,Lebel-sur-Quevillon Airport,49.03030014,-77.01719666
CA,British Columbia,WPL,,Powell Lake Water Aerodrome,49.88330078,-124.5329971
CA,Manitoba,YLR,CYLR,Leaf Rapids Airport,56.51330185,-99.98529816
CA,Quebec,YLQ,CYLQ,La Tuque Airport,47.40969849,-72.78890228
CA,Quebec,YLP,CYLP,Mingan Airport,50.2869,-64.1528
CA,Quebec,SSQ,,La Sarre Airport,48.91719818,-79.1785965
CA,Yukon,YLM,,Clinton Creek Airport,64.475545,-140.741748
CA,Alberta,YLL,CYLL,Lloydminster Airport,53.30920029,-110.072998
CA,British Columbia,CJH,,Chilko Lake (Tsylos Park Lodge) Aerodrome,51.62609863,-124.1419983
CA,Ontario,YLK,CYLS,Lake Simcoe Regional Airport,44.48529816,-79.55560303
CA,Saskatchewan,YLJ,CYLJ,Meadow Lake Airport,54.12530136,-108.5230026
CA,Ontario,YLH,CYLH,Lansdowne House Airport,52.1955986,-87.93419647
CA,Northwest Territories,YLE,,Whati Airport,63.13169861,-117.2460022
CA,Ontario,YLD,CYLD,Chapleau Airport,47.81999969,-83.34670258
CA,Nunavut,YLC,CYLC,Kimmirut Airport,62.84999847,-69.88330078
CA,Alberta,YLB,CYLB,Lac La Biche Airport,54.77030182,-112.0319977
CA,Ontario,YKZ,CYKZ,Buttonville Municipal Airport,43.86220169,-79.37000275
CA,Saskatchewan,YKY,CYKY,Kindersley Regional Airport,51.51750183,-109.1809998
CA,Ontario,YKX,CYKX,Kirkland Lake Airport,48.21030045,-79.98139954
CA,Quebec,YKU,,Chisasibi Airport,53.80559921,-78.91690063
CA,British Columbia,YKT,,Klemtu Water Aerodrome,52.60763455,-128.5217571
CA,Quebec,YKQ,CYKQ,Waskaganish Airport,51.47330093,-78.75830078
CA,Quebec,YKL,CYKL,Schefferville Airport,54.80530167,-66.80529785
CA,British Columbia,YKK,,Kitkatla Water Aerodrome,53.79999924,-130.4329987
CA,Nunavut,YZS,CYZS,Coral Harbour Airport,64.19329834,-83.35939789
CA,Saskatchewan,YKJ,CYKJ,Key Lake Airport,57.2560997,-105.6179962
CA,Quebec,YKG,CYAS,Kangirsuk Airport,60.02719879,-69.99919891
CA,Ontario,YKF,CYKF,Region of Waterloo International Airport,43.46080017,-80.37860107
CA,Manitoba,YKE,,Knee Lake Airport,54.915298,-94.798103
CA,Ontario,YKD,CYKM,Kincardine Municipal Airport,44.201401,-81.606697
CA,Ontario,YKD,CYKM,Kincardine Municipal Airport,44.201401,-81.606697
CD,Mai-Ndombe,INO,FZBA,Inongo Airport,-1.947219968,18.28580093
CD,Equateur,BSU,FZEN,Basankusu Airport,1.22472,19.7889
CD,Haut-Katanga,KEC,FZQG,Kasenga Airport,-10.35000038,28.63299942
CD,Lualaba,KWZ,FZQM,Kolwezi Airport,-10.76589966,25.50569916
CD,Kasai,BAN,FZVR,Basongo Airport,-4.315802,20.414891
